Time,Mic 1,Mic 2,Mic 3,Mic 4,Mic 5,Mic 6,Mic 7,Mic 8
0.000,69.063,68.990,68.558,66.455,66.001,67.974,69.174,84.169
0.000,72.057,72.365,71.653,69.310,68.964,70.637,71.791,87.205
0.000,73.436,73.955,73.119,70.721,70.453,72.017,73.342,87.430
0.000,74.815,75.179,74.140,71.930,71.364,73.252,74.420,89.040
0.000,75.424,75.954,74.870,72.721,72.167,74.072,75.377,89.648
0.000,76.007,76.494,75.328,73.268,72.709,74.639,75.934,90.496
0.000,76.476,77.071,75.809,73.815,73.178,75.174,76.468,90.964
0.280,76.787,77.372,76.277,74.145,73.499,75.626,76.750,91.138
0.000,77.224,77.744,76.659,74.577,73.813,76.081,77.011,91.758
0.000,77.488,78.017,76.932,74.771,74.140,76.370,77.232,91.569
0.000,77.717,78.248,77.171,75.034,74.358,76.610,77.500,91.401
0.000,77.890,78.416,77.448,75.262,74.636,76.834,77.705,91.188
0.000,78.070,78.657,77.668,75.395,74.796,76.936,77.941,90.980
0.000,78.208,78.787,77.832,75.496,74.878,77.015,78.016,91.180
0.000,78.408,79.088,78.025,75.667,75.037,77.098,78.206,91.059
0.377,78.656,79.340,78.145,75.793,75.173,77.180,78.388,90.982
0.000,78.814,79.574,78.267,75.905,75.246,77.279,78.547,91.098
0.000,79.029,79.967,78.423,76.105,75.424,77.409,78.738,90.846
0.000,79.216,80.100,78.537,76.198,75.439,77.456,78.852,91.028
0.000,79.371,80.376,78.642,76.374,75.598,77.533,79.000,91.043
0.000,79.423,80.397,78.647,76.427,75.592,77.596,79.062,91.039
0.000,79.569,80.547,78.834,76.514,75.609,77.733,79.179,90.834
0.000,79.722,80.639,78.952,76.655,75.635,77.905,79.244,90.775
0.475,79.840,80.728,79.117,76.656,75.620,78.048,79.347,90.638
0.000,79.998,80.818,79.204,76.773,75.656,78.150,79.434,91.079
0.000,80.026,80.820,79.308,76.780,75.662,78.200,79.503,90.846
0.000,80.051,80.788,79.329,76.781,75.652,78.287,79.588,91.323
0.000,80.131,80.828,79.388,76.868,75.641,78.363,79.659,91.651
0.000,80.100,80.794,79.333,76.877,75.630,78.439,79.720,91.422
0.000,80.225,80.842,79.297,76.957,75.694,78.490,79.763,91.145
0.000,80.213,80.822,79.287,76.938,75.695,78.552,79.775,90.796
0.569,80.259,80.864,79.261,76.948,75.722,78.558,79.745,90.473
0.000,80.276,80.884,79.187,76.942,75.690,78.534,79.791,90.342
0.000,80.243,80.875,79.159,76.949,75.708,78.511,79.845,90.088
0.000,80.260,80.850,79.135,77.000,75.754,78.643,79.901,89.935
0.000,80.254,80.816,79.088,76.978,75.732,78.650,79.951,90.158
0.000,80.271,80.782,79.022,76.970,75.757,78.638,79.933,89.852
0.000,80.170,80.781,78.987,76.942,75.725,78.589,79.891,90.247
0.000,80.116,80.733,78.897,76.898,75.745,78.512,79.885,89.979
0.666,80.116,80.737,78.946,76.945,75.806,78.505,79.899,89.990
0.000,80.073,80.712,78.971,76.903,75.812,78.515,79.886,90.189
0.000,80.088,80.746,79.017,76.929,75.861,78.521,79.926,90.446
0.000,80.084,80.879,79.018,76.918,75.888,78.488,79.962,90.515
0.000,80.062,80.833,79.009,76.931,75.879,78.387,79.883,90.605
0.000,80.040,80.846,78.973,76.934,75.904,78.346,79.748,90.470
0.000,80.070,80.784,78.940,76.902,75.900,78.293,79.694,90.732
0.773,80.053,80.770,78.922,76.887,75.941,78.225,79.685,90.470
0.000,79.970,80.775,78.857,76.866,75.953,78.153,79.640,90.623
0.000,79.964,80.740,78.806,76.814,75.987,78.137,79.680,90.419
0.000,79.994,80.749,78.779,76.821,76.013,78.169,79.683,90.695
0.000,79.966,80.785,78.778,76.827,76.001,78.154,79.769,90.867
0.000,79.942,80.778,78.823,76.821,75.967,78.154,79.799,90.606
0.000,79.985,80.796,78.833,76.833,75.951,78.163,79.861,90.893
0.000,80.030,80.787,78.857,76.829,75.916,78.115,79.992,91.234
0.864,80.094,80.829,78.831,76.861,75.959,78.112,80.061,91.239
0.000,80.129,80.703,78.870,76.869,75.933,78.116,80.018,90.970
0.000,80.124,80.612,78.909,76.895,75.993,78.191,79.999,90.796
0.000,80.086,80.464,78.888,76.867,75.941,78.163,79.962,90.516
0.000,80.007,80.368,78.869,76.834,75.937,78.158,79.879,90.182
0.000,79.891,80.246,78.810,76.763,75.839,78.047,79.805,90.074
0.000,79.811,80.142,78.820,76.705,75.832,77.952,79.776,89.709
0.000,79.737,80.017,78.788,76.673,75.858,77.911,79.752,89.377
0.968,79.660,79.889,78.776,76.607,75.851,77.863,79.768,89.177
0.000,79.575,79.802,78.779,76.599,75.869,77.884,79.772,88.938
0.000,79.514,79.826,78.815,76.592,75.862,77.852,79.789,88.693
0.000,79.491,79.880,78.802,76.611,75.913,77.874,79.849,88.413
0.000,79.424,79.875,78.843,76.592,75.903,77.851,79.840,88.117
0.000,79.492,79.891,78.868,76.633,75.955,77.851,79.847,87.919
0.000,79.510,79.907,78.971,76.649,75.946,77.865,79.921,88.140
0.000,79.552,79.901,79.050,76.658,76.030,77.882,79.913,87.918
1.064,79.590,79.872,79.120,76.671,76.017,77.918,79.976,87.761
0.000,79.570,79.925,79.133,76.685,76.071,77.938,80.008,87.447
0.000,79.467,79.938,79.126,76.659,76.053,77.887,80.013,87.385
0.000,79.408,79.956,79.100,76.683,76.106,77.876,80.060,88.181
0.000,79.416,79.943,79.130,76.660,76.114,77.916,80.048,88.551
0.000,79.397,79.991,79.082,76.676,76.103,77.935,79.995,88.850
0.000,79.448,80.020,79.169,76.687,76.077,77.944,80.027,88.563
0.000,79.415,80.099,79.125,76.669,76.091,77.967,80.067,88.865
1.163,79.446,80.080,79.091,76.707,76.032,78.002,80.054,88.749
0.000,79.422,80.060,79.102,76.657,76.035,77.980,79.962,88.423
0.000,79.496,80.055,79.146,76.672,76.003,77.979,79.948,88.128
0.000,79.512,80.132,79.117,76.647,75.999,77.890,79.899,87.871
0.000,79.536,80.065,79.122,76.604,75.946,77.922,79.866,87.662
0.000,79.599,80.089,79.084,76.563,75.915,77.884,79.800,87.798
0.000,79.617,80.082,79.112,76.598,75.910,77.858,79.763,87.906
1.255,79.699,80.124,79.152,76.580,75.843,77.945,79.769,88.496
0.000,79.659,80.105,79.152,76.608,75.785,77.953,79.682,88.935
0.000,79.599,80.119,79.133,76.595,75.740,77.928,79.634,88.817
0.000,79.613,80.065,79.139,76.600,75.677,78.008,79.590,89.216
0.000,79.670,80.019,79.170,76.624,75.646,77.985,79.563,89.214
0.000,79.652,79.990,79.139,76.577,75.619,77.959,79.536,89.138
0.000,79.716,79.876,79.109,76.601,75.561,77.948,79.467,88.788
0.000,79.686,79.878,79.131,76.611,75.592,78.010,79.490,88.794
1.356,79.613,79.897,79.115,76.660,75.593,78.041,79.510,88.863
0.000,79.500,79.805,79.093,76.733,75.660,77.979,79.420,88.910
0.000,79.482,79.769,79.013,76.726,75.611,77.936,79.332,88.621
0.000,79.448,79.734,79.003,76.751,75.668,77.924,79.321,88.723
0.000,79.428,79.727,78.977,76.739,75.679,77.852,79.264,88.746
0.000,79.483,79.823,78.974,76.739,75.646,77.845,79.265,88.762
0.000,79.503,79.924,79.017,76.721,75.637,77.824,79.295,88.560
0.000,79.515,79.945,79.054,76.695,75.613,77.821,79.349,88.269
1.446,79.458,79.930,79.055,76.668,75.591,77.767,79.375,88.647
0.000,79.395,79.893,78.997,76.645,75.581,77.746,79.416,88.345
0.000,79.321,79.814,78.962,76.592,75.520,77.705,79.357,87.973
0.000,79.282,79.727,78.994,76.556,75.483,77.710,79.324,87.766
0.000,79.247,79.636,78.977,76.524,75.413,77.724,79.290,87.569
0.000,79.167,79.569,78.971,76.497,75.392,77.706,79.199,88.343
0.000,79.109,79.510,78.918,76.490,75.350,77.634,79.107,88.310
0.000,79.117,79.527,78.879,76.409,75.369,77.578,79.129,88.350
1.544,79.097,79.531,78.900,76.420,75.355,77.580,79.143,88.126
0.000,79.013,79.445,78.827,76.396,75.369,77.491,79.123,87.800
0.000,78.965,79.444,78.797,76.400,75.364,77.489,79.108,87.549
0.000,78.930,79.415,78.774,76.407,75.338,77.448,79.135,87.214
0.000,78.966,79.454,78.783,76.426,75.277,77.468,79.149,86.870
0.000,78.964,79.485,78.778,76.458,75.280,77.425,79.091,87.350
0.000,78.931,79.422,78.757,76.444,75.251,77.336,79.044,87.735
0.000,78.937,79.371,78.795,76.402,75.217,77.331,79.074,88.059
1.643,78.934,79.358,78.808,76.420,75.269,77.278,79.085,88.022
0.000,78.904,79.304,78.785,76.371,75.269,77.235,79.095,87.642
0.000,78.887,79.308,78.711,76.378,75.295,77.199,79.084,87.318
0.000,78.832,79.392,78.714,76.410,75.304,77.224,79.054,87.088
0.000,78.916,79.394,78.697,76.449,75.365,77.290,79.126,87.102
0.000,79.062,79.525,78.709,76.612,75.510,77.354,79.144,87.889
0.000,79.124,79.522,78.742,76.673,75.628,77.461,79.214,88.361
1.744,79.157,79.525,78.731,76.724,75.720,77.457,79.156,88.759
0.000,79.155,79.597,78.767,76.766,75.873,77.577,79.225,88.571
0.000,79.202,79.597,78.778,76.794,75.976,77.650,79.319,88.559
0.000,79.176,79.615,78.840,76.773,75.994,77.724,79.264,88.443
