Time (s),ESC (µs),Servo (µs),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),App message,
9.05787999996543,1646,,0.20552805012404496,-1.2950807067652346,14.35361246966982,19.150272891434206,8614,274.8755957720699,185.4062518677773,67.45096862710153,0.006985097286195198,0.004711515779084043,,
9.091794999986886,1646,,0.20567172508292897,-1.2939959859870618,14.3533022702206,19.154735549550654,8616,274.93370924884067,185.5670803012014,67.49520850251429,0.006973197961010783,0.004706574503077302,,
9.116049999982119,1646,,0.2057495791759969,-1.2932485884642408,14.35337016543395,19.13884767893409,8617,274.7069652755974,185.65314607401825,67.5822492843468,0.0069659395265439465,0.004707738615825778,,
9.175544999957085,1646,,0.20587060858879014,-1.2914006117052685,14.352469125356532,19.18770633840464,8616,275.3909628083604,185.7570112643927,67.45210858413594,0.006952096197689061,0.004689335476138812,,
9.216179999977351,1646,,0.20568874246135815,-1.2896060375880523,14.352581747140638,19.157272617206804,8617,274.95632129071953,185.61110157313007,67.5056680645934,0.006947892807370427,0.004690221456027241,,
9.270559999972582,1646,,0.20553281628078068,-1.2880757499547748,14.351654381035388,19.20956700077136,8618,275.68906640441315,185.47991934461749,67.2786635188984,0.00694455634068699,0.0046722046933311235,,
9.316655000001193,1646,,0.2056087274313294,-1.2867934735749698,14.350036621749299,19.296406476483458,8621,276.904139605698,185.6201320514033,67.03407623870123,0.006932402532816976,0.004647071999022187,,
9.377734999984503,1646,,0.20570004660784358,-1.2856043961904358,14.350298117701893,19.25929466371836,8628,276.3766199610237,185.8460599480822,67.24377046592845,0.0069175768189521005,0.004651639477940426,,
9.423329999983311,1646,,0.20557964217012148,-1.2850736809453907,14.347848426314219,19.401128145516914,8629,278.36444593137537,185.777839724295,66.73906902970448,0.006917260330147631,0.004616515146701592,,
9.472494999974966,1646,,0.20589325461689734,-1.2852226932449538,14.349268940027159,19.27385062597884,8631,276.5656661420812,186.08400068606034,67.28384013887776,0.006906680254651417,0.004647079701443096,,
