Time,Mic 1,Mic 2,Mic 3,Mic 4,Mic 5,Mic 6,Mic 7,Mic 8
0.000,76.743,76.929,75.669,70.960,73.319,75.823,77.740,87.133
0.000,76.731,76.891,75.619,70.925,73.337,75.842,77.707,87.010
0.000,76.723,76.909,75.643,70.929,73.306,75.811,77.730,86.998
0.000,76.735,76.912,75.631,70.825,73.243,75.787,77.718,86.640
0.000,76.725,76.928,75.609,70.788,73.254,75.828,77.742,86.533
0.000,76.700,76.891,75.600,70.762,73.209,75.877,77.787,86.184
1.370,76.647,76.914,75.576,70.801,73.147,75.934,77.810,85.960
0.000,76.597,76.918,75.630,70.782,73.067,75.960,77.881,85.603
0.000,76.548,76.889,75.629,70.785,73.048,75.967,77.871,85.662
0.000,76.497,76.917,75.630,70.852,73.060,75.924,77.846,85.664
0.000,76.481,76.916,75.592,70.822,73.035,75.866,77.814,85.453
0.000,76.438,76.934,75.572,70.806,73.035,75.790,77.763,85.285
0.000,76.520,76.930,75.551,70.814,72.999,75.781,77.759,85.688
0.000,76.534,76.957,75.589,70.857,72.950,75.747,77.781,85.705
1.457,76.483,76.946,75.557,70.851,72.895,75.701,77.813,85.600
0.000,76.444,76.933,75.523,70.849,72.894,75.646,77.767,85.433
0.000,76.485,76.859,75.457,70.824,72.849,75.572,77.718,85.206
0.000,76.446,76.845,75.501,70.744,72.818,75.527,77.678,85.049
0.000,76.482,76.790,75.505,70.757,72.898,75.559,77.645,84.920
0.000,76.404,76.829,75.526,70.756,72.882,75.608,77.669,85.000
0.000,76.405,76.842,75.508,70.702,72.833,75.654,77.705,85.159
0.000,76.402,76.859,75.485,70.777,72.877,75.674,77.708,85.140
1.559,76.351,76.787,75.421,70.752,72.891,75.619,77.661,85.174
0.000,76.311,76.777,75.403,70.784,72.890,75.638,77.686,85.200
0.000,76.328,76.796,75.493,70.899,72.894,75.660,77.682,85.025
0.000,76.340,76.848,75.443,70.947,72.846,75.632,77.670,84.940
0.000,76.407,76.880,75.437,70.979,72.832,75.605,77.731,85.152
0.000,76.457,76.958,75.492,71.037,72.854,75.585,77.767,84.943
0.000,76.491,77.019,75.478,71.145,72.849,75.558,77.788,84.748
0.000,76.459,77.083,75.516,71.237,72.886,75.629,77.863,84.546
1.659,76.418,77.101,75.597,71.284,72.869,75.647,77.874,84.405
0.000,76.490,77.077,75.632,71.282,72.903,75.660,77.828,84.333
0.000,76.540,77.099,75.710,71.337,72.966,75.646,77.867,84.231
0.000,76.610,77.162,75.757,71.343,72.964,75.692,77.821,83.979
0.000,76.609,77.212,75.777,71.399,73.009,75.736,77.762,84.006
0.000,76.600,77.200,75.811,71.474,73.024,75.755,77.723,84.377
0.000,76.667,77.252,75.890,71.565,73.017,75.826,77.773,84.616
1.755,76.735,77.301,75.880,71.546,72.989,75.869,77.750,84.515
0.000,76.690,77.270,75.837,71.543,72.992,75.892,77.728,84.612
0.000,76.646,77.226,75.806,71.519,72.967,75.930,77.682,84.364
0.000,76.672,77.263,75.781,71.424,72.976,75.929,77.696,84.188
0.000,76.663,77.252,75.786,71.437,73.055,75.940,77.719,84.225
0.000,76.725,77.191,75.775,71.467,73.072,75.925,77.669,83.914
0.000,76.768,77.222,75.766,71.471,73.062,75.908,77.673,83.674
0.000,76.773,77.182,75.687,71.413,73.067,75.825,77.645,83.469
1.858,76.796,77.147,75.686,71.399,73.055,75.823,77.654,83.503
0.000,76.864,77.152,75.717,71.354,73.032,75.823,77.696,83.299
0.000,76.894,77.110,75.721,71.315,73.039,75.861,77.687,83.625
0.000,76.894,77.065,75.671,71.387,73.086,75.796,77.655,83.563
0.000,76.843,77.098,75.630,71.348,73.074,75.757,77.646,83.434
0.000,76.852,77.092,75.639,71.361,73.025,75.825,77.670,83.313
0.000,76.824,77.119,75.636,71.382,73.043,75.868,77.674,83.179
0.000,76.839,77.186,75.696,71.486,73.048,75.939,77.724,83.241
1.953,76.921,77.222,75.751,71.535,73.105,76.051,77.742,83.156
0.000,76.975,77.185,75.825,71.632,73.083,76.043,77.725,83.087
0.000,76.968,77.185,75.821,71.638,73.036,76.066,77.740,82.948
0.000,77.019,77.169,75.788,71.596,72.966,76.049,77.744,83.000
0.000,77.094,77.175,75.845,71.604,72.996,76.072,77.704,82.981
0.000,77.070,77.173,75.889,71.592,72.972,76.036,77.720,82.929
0.000,77.116,77.174,75.922,71.632,72.987,76.122,77.747,82.691
0.000,77.108,77.202,75.988,71.667,73.007,76.198,77.842,82.872
2.049,77.046,77.158,75.939,71.619,73.016,76.226,77.773,82.755
0.000,76.965,77.138,75.885,71.627,73.019,76.185,77.743,83.200
0.000,76.895,77.117,75.877,71.559,72.969,76.116,77.706,83.002
0.000,76.865,77.137,75.897,71.552,72.963,76.101,77.692,83.247
0.000,76.826,77.133,75.889,71.554,72.949,76.066,77.725,83.453
0.000,76.781,77.124,75.953,71.622,72.939,76.048,77.708,83.479
0.000,76.717,77.145,75.952,71.578,72.888,75.952,77.699,83.614
0.000,76.640,77.015,75.905,71.537,72.950,75.963,77.669,83.662
2.149,76.641,77.046,75.946,71.556,72.979,75.951,77.721,83.436
0.000,76.679,77.084,76.007,71.566,72.943,75.941,77.729,83.174
0.000,76.622,77.097,76.058,71.622,72.966,75.927,77.750,82.986
0.000,76.549,77.077,76.091,71.702,72.903,75.909,77.713,82.974
0.000,76.599,77.124,76.133,71.656,72.858,75.903,77.791,83.184
0.000,76.652,77.124,76.135,71.628,72.882,75.912,77.789,83.375
0.000,76.636,77.071,76.126,71.640,72.914,75.895,77.790,83.526
2.246,76.691,77.110,76.110,71.662,72.954,75.917,77.773,83.646
0.000,76.686,77.095,76.116,71.679,72.991,75.884,77.733,83.513
0.000,76.664,77.140,76.168,71.708,73.025,75.881,77.790,83.375
0.000,76.634,77.113,76.177,71.685,72.950,75.822,77.744,83.274
0.000,76.609,77.090,76.147,71.710,72.938,75.809,77.717,83.217
0.000,76.539,77.056,76.110,71.768,72.999,75.780,77.695,83.024
0.000,76.500,77.050,76.077,71.755,72.969,75.808,77.698,82.991
0.000,76.477,77.074,76.104,71.739,72.999,75.844,77.746,83.069
2.337,76.467,77.058,76.118,71.731,73.002,75.856,77.780,82.964
0.000,76.487,77.015,76.140,71.733,73.009,75.909,77.761,82.930
0.000,76.439,76.940,76.062,71.634,73.018,75.944,77.789,82.704
0.000,76.431,76.894,76.054,71.564,73.076,75.910,77.826,82.667
0.000,76.379,76.928,76.037,71.554,73.040,75.867,77.847,82.426
0.000,76.371,76.941,76.007,71.560,73.053,75.906,77.841,82.123
0.000,76.362,76.953,76.027,71.534,72.999,75.903,77.866,82.569
0.000,76.384,76.894,75.982,71.540,72.977,75.817,77.815,83.269
2.444,76.387,76.835,75.881,71.469,72.989,75.754,77.726,83.495
