,mean,std
0,-32.53985180455089,2.1713240746574525
1,-32.6335026001353,1.7479872073202039
2,-32.69136174134411,1.8160949857474655
3,-34.529406118242406,2.253155389607288
4,-35.54131976462108,2.814962600950555
5,-34.29602254710852,2.3571649146744114
6,-34.1166741770935,2.8672976786826396
7,-35.040193751793886,3.2650501261733527
8,-35.03348853421647,2.390329784673188
9,-35.48755497057009,3.2164976539862393
10,-35.567910016374384,2.196818201504713
11,-35.77128445800273,2.835761895529912
12,-35.638505773627045,3.0740274793612357
13,-35.764532195999855,2.1749368879788995
14,-36.86806930106997,1.8508186298750962
15,-35.4021476244013,2.3227952321506784
16,-34.8320787006751,2.3494934055389285
17,-35.671546721404376,2.4868105623936385
18,-34.69934931988082,2.108799871387615
19,-34.599289940660036,2.452771651227214
20,-33.51113050678875,2.5256150710916105
21,-32.72477550600942,2.246456868062873
22,-32.272172354016384,2.193768047429555
23,-30.68243684113417,2.2549652686672474
24,-30.85160815910619,2.0153194757639596
25,-31.192667988471865,2.459405486134205
26,-30.787490036538745,2.626040402544991
27,-32.23723627877164,2.464623125508029
28,-33.25140203891661,2.5031502297648
29,-32.08249893922118,2.2668003425579637
30,-32.48155703145396,2.585510164904495
31,-31.94270793813726,2.7091198675153594
32,-31.583422685479896,2.3690905035128345
33,-31.644796078986346,2.7450380945225876
34,-30.967402525974325,1.7556068407956127
35,-30.524841507562705,1.831703139017533
36,-30.626010235639637,2.276250045757064
37,-32.62890787358184,2.4148110099553945
38,-32.72671188280268,2.381198186850956
39,-33.915085333142464,2.8071549943160465
40,-34.161819392403196,2.321220978451685
41,-34.523406988831795,1.9191022416425858
42,-34.50354809713844,2.918878635982733
43,-34.286617142772855,1.9699403254673213
44,-35.53498664631448,2.432798311584355
45,-35.33120716859209,2.913833475947658
46,-35.106466054326425,2.2096704290581615
47,-35.582496741873854,3.0513156891258695
48,-34.63541443932636,2.0638469829997774
49,-34.891076132438236,2.5444921716643485
50,-35.078838362688025,2.380072134154531
51,-35.77614194191887,2.4677801869256544
52,-34.6498064482124,2.6307368833850453
53,-34.45426187759298,3.1261702745756943
54,-35.11425697260306,2.829364363134305
55,-34.234564314206416,2.3729799173684727
56,-33.371338392567964,2.3116043525262695
57,-32.375530043486926,2.2266712631110828
58,-30.466099038526725,1.090832676242414
59,-29.326384165155034,1.0853861876858217
60,-29.232085126773423,1.2254494711736594
