,mean,std
0,-31.500632281833507,1.5900470625645489
1,-30.943533596104192,1.5976037428207959
2,-30.144081942407826,1.3104893194060296
3,-29.62305341225795,1.1651751006273565
4,-29.474695842322873,1.0358348981354064
5,-30.26483171076448,0.9808986849020658
6,-31.740809853986367,1.6291755064237285
7,-32.293680491753655,2.108119645431869
8,-32.394483073292136,2.0507986377378535
9,-33.4985787867538,2.4933459843327475
10,-34.975934336414184,3.1446067259497514
11,-34.510139823971656,2.578847594806096
12,-34.472143691768885,2.3632470015773213
13,-35.21680356485583,2.420151584901664
14,-36.03515653596974,3.1336812167775046
15,-35.66753810600974,2.5437390757875846
16,-35.43932902691878,2.7399528864000975
17,-35.928084763142714,2.607752308045576
18,-35.51907870224348,2.7740935955659873
19,-35.128278481903884,2.279524888900402
20,-35.15755053486084,2.3134133144210254
21,-35.075732106594096,2.464196156638082
22,-34.64946697283282,3.2501228030057985
23,-34.795599123771936,2.5317002735106744
24,-34.63070548357207,2.4539673550737002
25,-34.44161035085478,2.456662247078424
26,-33.290458147992545,2.0790212930505634
27,-34.58426648362696,3.0959918006385485
28,-34.316068221883725,2.3570711314564115
29,-30.781347915539765,2.0605028185523397
30,-30.529069670070232,2.330134073664403
31,-32.11099368455586,2.4876534479876207
32,-31.04216871464068,2.0573434507078607
33,-32.09510395859181,2.6852263878110794
34,-34.3127817753752,2.8058679101151225
35,-32.88761826796254,2.6925475702859507
36,-33.276491373317164,2.2078264789705497
37,-32.63529699344698,2.0073539228094197
38,-31.76605429389147,2.2043885156942635
39,-31.604924313446908,1.8932904502491914
40,-30.474120315409845,1.6779073461519938
41,-30.70293349450078,1.9471765725688743
42,-31.43272976910124,1.9073488519506
43,-32.908579079865625,2.199912141391281
44,-33.8103923528227,2.7883302206179352
45,-34.34266089499554,2.954595717997635
46,-34.25904870395666,2.1521270839074815
47,-35.10162837031532,2.6605224276535564
48,-33.84134071713344,2.338377217736153
49,-34.351304711329334,2.2035939292326034
50,-35.09659673018557,2.141759617627656
51,-35.321293478362264,3.220674916334396
52,-35.87431845886188,2.906829840759181
53,-35.39842696753324,2.1229557468587386
54,-35.190458172598134,2.441900669215698
55,-35.385095995984706,2.7967700100984425
56,-35.19189241455623,2.0568777591903955
57,-35.708951006229555,2.2808731624979623
58,-34.95245687024049,2.1204342424804388
59,-34.405627859186474,2.1890332895939584
60,-34.883798557048586,2.7798625288955003
