Time (s),ESC (µs),Servo (µs),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),App message,
1.378285000000149,1802,,-0.17440199446924054,2.4730497346825295,15.938333521384237,11.188632045849925,0,178.32814919480376,0,0,0,0,,
1.4053900000001305,1802,,-0.17467369467557692,2.4698449995686134,15.938062549198452,11.188503942332154,0,178.32307566484334,0,0,0,0,,
1.429510000000242,1802,,-0.17499481846226295,2.4699721487724586,15.938582805866474,11.129056475855714,0,177.38138819159082,0,0,0,0,,
1.4508250000001863,1802,,-0.17517690176263012,2.4681423688208546,15.938362186617502,11.126541440936899,0,177.33884737006127,0,0,0,0,,
1.4807900000000374,1802,,-0.17528570119413378,2.4685357152123064,15.93872263271841,11.089820460348093,0,176.75757236413384,0,0,0,0,,
1.5039250000002793,1802,,-0.17528573371550404,2.464626504494186,15.93869980669706,11.078037591686082,0,176.5695156211897,0,0,0,0,,
1.5278000000002794,1802,,-0.17528764133697106,2.4678810516171135,15.938594885269728,11.063909535646053,0,176.34317193593515,0,0,0,0,,
1.5522349999998697,1802,,-0.1752206825889835,2.4669533158730705,15.938290213885647,11.065135195368018,0,176.35933599965574,0,0,0,0,,
1.5806900000004098,1802,,-0.17486533450262387,2.471118378476281,15.938498048566986,11.038016109416255,0,175.92939821998192,0,0,0,0,,
1.6075750000001863,1802,,-0.17460208315874182,2.4711940160476584,15.937731287966988,11.06508822125588,0,176.35240274802484,0,0,0,0,,
1.6331450000000187,1802,,-0.17438751815031606,2.4742232902739576,15.937335487236817,11.079315666338545,0,176.57477074343612,0,0,0,0,,
1.6576300000003539,1802,,-0.17434418474737323,2.4734469414921443,15.936766173093663,11.096975893779073,0,176.84991004761415,0,0,0,0,,
1.680755000000354,1802,,-0.17420458173910558,2.474630104645993,15.93687379239922,11.081595791373815,0,176.60599354550683,0,0,0,0,,
1.70825,1802,,-0.17405576732158123,2.4739893218114224,15.937031008548187,11.056787743188062,0,176.2123691181237,0,0,0,0,,
1.7340150000001304,1802,,-0.17393333403700884,2.4776365379276224,15.937185485914862,11.02809629840014,0,175.75681626413413,0,0,0,0,,
1.7601650000000373,1802,,-0.1738454351310177,2.479121256062743,15.936733512015905,11.04381601515176,0,176.002352789207,0,0,0,0,,
1.7820500000002795,1802,,-0.17375523828119754,2.4780318451160497,15.936544089012074,11.042919893735917,0,175.98597975795096,0,0,0,0,,
1.8034550000000744,1802,,-0.17367400905034436,2.4806820244974417,15.935400207879546,11.100620308742352,0,176.8928271755248,0,0,0,0,,
1.8268850000002421,1802,,-0.1736286743417652,2.478533798576683,15.9358087540255,11.057424924479012,0,176.2090089084924,0,0,0,0,,
1.852140000000596,1802,,-0.17346755732603936,2.482866172572591,15.936059336573647,11.031086190377444,0,175.7920440767131,0,0,0,0,,
1.8771049999999814,1802,,-0.17331181887362024,2.4849955945767013,15.935563215859577,11.047994274948863,0,176.0560111769023,0,0,0,0,,
