Time,Mic 1,Mic 2,Mic 3,Mic 4,Mic 5,Mic 6,Mic 7,Mic 8
0.000,84.758,85.539,85.720,85.645,82.314,82.777,84.327,89.335
0.000,87.981,89.016,89.075,89.394,85.703,86.286,87.715,92.214
0.000,89.365,90.258,90.236,90.089,86.809,87.604,89.390,93.695
0.000,90.265,91.265,91.203,90.740,87.441,88.379,90.329,94.739
0.000,90.952,92.139,92.402,92.086,88.600,89.114,91.164,95.611
0.000,91.617,92.688,92.823,92.652,89.280,89.939,91.633,96.243
0.000,92.119,93.199,93.302,93.027,89.608,90.465,92.106,96.711
0.276,92.361,93.555,93.720,93.228,89.792,90.618,92.481,97.089
0.000,92.642,93.818,93.921,93.417,89.995,90.913,92.741,97.390
0.000,93.014,94.173,94.353,94.108,90.525,91.425,93.045,97.664
0.000,93.225,94.360,94.528,94.295,90.739,91.633,93.281,97.885
0.000,93.409,94.459,94.558,94.174,90.683,91.681,93.346,98.012
0.000,93.549,94.661,94.833,94.338,90.776,91.755,93.577,98.116
0.000,93.656,94.770,95.001,94.727,91.134,91.932,93.639,98.293
0.000,93.792,94.920,95.140,94.838,91.289,92.208,93.781,98.423
0.375,93.871,95.044,95.205,94.807,91.291,92.202,93.920,98.500
0.000,93.903,95.057,95.209,94.756,91.295,92.218,93.962,98.584
0.000,93.996,95.135,95.388,94.924,91.378,92.307,94.078,98.670
0.000,94.135,95.310,95.572,95.289,91.674,92.485,94.214,98.801
0.000,94.257,95.328,95.506,95.186,91.697,92.543,94.242,98.882
0.000,94.378,95.443,95.622,95.116,91.650,92.521,94.389,98.938
0.000,94.335,95.464,95.751,95.307,91.759,92.539,94.451,98.995
0.000,94.419,95.484,95.747,95.396,91.849,92.713,94.483,99.072
0.470,94.571,95.619,95.866,95.565,92.016,92.898,94.612,99.152
0.000,94.596,95.636,95.841,95.416,91.931,92.844,94.646,99.197
0.000,94.610,95.646,95.804,95.312,91.858,92.829,94.631,99.207
0.000,94.636,95.727,95.992,95.575,92.045,92.875,94.678,99.243
0.000,94.720,95.722,95.923,95.564,92.092,92.979,94.681,99.292
0.000,94.772,95.807,95.975,95.568,92.086,93.044,94.720,99.309
0.000,94.671,95.799,96.034,95.518,92.012,92.915,94.759,99.308
0.000,94.690,95.797,95.964,95.487,91.978,92.945,94.774,99.341
0.570,94.811,95.859,96.097,95.799,92.218,93.101,94.837,99.373
0.000,94.836,95.848,96.053,95.808,92.268,93.100,94.862,99.412
0.000,94.831,95.839,95.989,95.595,92.129,93.025,94.860,99.383
0.000,94.838,95.870,96.061,95.612,92.106,92.991,94.870,99.340
0.000,94.827,95.843,96.063,95.757,92.223,93.004,94.830,99.365
0.000,94.915,95.852,96.085,95.764,92.216,93.127,94.847,99.379
0.000,94.928,95.917,96.112,95.705,92.201,93.078,94.886,99.393
0.000,94.897,95.859,96.027,95.585,92.152,93.014,94.853,99.387
0.664,94.865,95.854,96.122,95.676,92.166,93.015,94.880,99.412
0.000,94.899,95.993,96.221,95.930,92.325,93.169,94.985,99.473
0.000,94.935,96.005,96.143,95.796,92.323,93.226,94.975,99.490
0.000,94.913,96.008,96.143,95.682,92.221,93.151,94.973,99.453
0.000,94.818,95.965,96.179,95.774,92.274,93.116,94.966,99.451
0.000,94.821,95.939,96.123,95.799,92.323,93.187,94.927,99.470
0.000,94.918,96.011,96.169,95.885,92.466,93.228,94.970,99.475
0.765,94.886,95.996,96.132,95.744,92.354,93.184,95.005,99.481
0.000,94.828,95.949,96.078,95.620,92.257,93.098,94.942,99.470
0.000,94.824,95.982,96.195,95.836,92.375,93.111,94.977,99.477
0.000,94.869,95.938,96.138,95.806,92.391,93.170,94.970,99.515
0.000,94.927,95.964,96.111,95.773,92.357,93.180,94.935,99.504
0.000,94.843,95.953,96.126,95.684,92.256,93.072,94.951,99.477
0.000,94.797,95.887,96.026,95.609,92.191,93.010,94.874,99.474
0.000,94.838,95.927,96.132,95.859,92.361,93.087,94.858,99.466
0.860,94.815,95.927,96.106,95.812,92.376,93.110,94.864,99.500
0.000,94.770,95.862,95.976,95.570,92.196,93.018,94.781,99.464
0.000,94.766,95.874,96.091,95.655,92.192,92.981,94.802,99.422
0.000,94.756,95.911,96.128,95.858,92.372,93.059,94.812,99.473
0.000,94.810,95.912,96.146,95.829,92.395,93.150,94.843,99.500
0.000,94.821,95.970,96.148,95.730,92.320,93.090,94.900,99.505
0.000,94.811,95.928,96.061,95.633,92.285,93.050,94.866,99.486
0.000,94.833,95.934,96.158,95.733,92.305,93.105,94.889,99.497
0.959,94.839,96.004,96.213,95.913,92.397,93.176,94.964,99.538
0.000,94.866,95.990,96.112,95.740,92.360,93.177,94.975,99.567
0.000,94.855,96.007,96.166,95.673,92.253,93.113,94.995,99.552
0.000,94.800,96.023,96.278,95.817,92.320,93.093,95.056,99.560
0.000,94.856,96.014,96.262,95.863,92.416,93.191,95.020,99.607
0.000,94.940,96.106,96.278,95.912,92.508,93.267,95.100,99.600
0.000,94.916,96.032,96.197,95.760,92.397,93.202,95.069,99.575
0.000,94.887,96.014,96.146,95.646,92.266,93.144,95.051,99.577
1.056,94.895,96.039,96.294,95.895,92.404,93.151,95.083,99.590
0.000,94.876,95.980,96.201,95.830,92.425,93.220,95.063,99.599
0.000,94.908,96.021,96.201,95.770,92.404,93.203,95.071,99.597
0.000,94.851,96.010,96.241,95.707,92.338,93.078,95.093,99.570
0.000,94.839,95.953,96.148,95.667,92.277,93.013,95.033,99.552
0.000,94.912,96.013,96.288,95.913,92.448,93.194,95.094,99.553
