Time (s),ESC (µs),Servo (µs),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),App message,
1.0796100000143052,2000,,0.4118349285066476,-2.5895937923014354,13.229895665353325,53.27730835929525,0,704.8532309243327,0,0,0,0,,
1.1079800000190736,2000,,0.4120219247911603,-2.590163857172398,13.229081413432548,53.29020706267488,0,704.9804877708042,0,0,0,0,,
1.131830000013113,2000,,0.4123010511296634,-2.5901214782552127,13.228164717113474,53.30961373780971,0,705.1883515294422,0,0,0,0,,
1.159155000001192,2000,,0.4126142297325849,-2.5897731422271244,13.227383147394832,53.31392455081199,0,705.2037071248901,0,0,0,0,,
1.183705000013113,2000,,0.41270544248215624,-2.588501696995917,13.22680949274615,53.30673206251997,0,705.0779896718147,0,0,0,0,,
1.2277250000238418,2000,,0.41277041733060804,-2.585545315767739,13.225754490456302,53.300743258334414,0,704.9425444935748,0,0,0,0,,
1.2538800000250339,2000,,0.4126661480938836,-2.583707845455561,13.225137004906571,53.2944306018792,0,704.8261463083378,0,0,0,0,,
1.2801900000274182,2000,,0.41255768598304454,-2.5819926159196047,13.224615155938343,53.28412207494385,0,704.6620083631713,0,0,0,0,,
1.3093700000047683,2000,,0.4124221702074018,-2.5798410968525634,13.223964306288657,53.27319023649259,0,704.4827661695034,0,0,0,0,,
1.3378200000226497,2000,,0.41217645369548095,-2.5782841554005023,13.223484563262158,53.2534001563409,0,704.1955149085965,0,0,0,0,,
1.3823250000178815,2000,,0.4117637577625305,-2.5760494467397135,13.222640911875219,53.23609474975804,0,703.9217644266162,0,0,0,0,,
1.4059750000238418,2000,,0.41147118143775196,-2.5749839082644854,13.222129180794745,53.228597608049604,0,703.7953936861741,0,0,0,0,,
1.4330049999952317,2000,,0.41122057579814997,-2.573695931840411,13.221815870866642,53.20895049941643,0,703.5189461853417,0,0,0,0,,
1.481830000013113,2000,,0.4107838433875184,-2.5712063423609335,13.221227868587818,53.16900071266463,0,702.959473967247,0,0,0,0,,
1.5074500000178814,2000,,0.410571328654728,-2.570163201201125,13.220929649630973,53.14350879819824,0,702.6065911555236,0,0,0,0,,
