Time,Mic 1,Mic 2,Mic 3,Mic 4,Mic 5,Mic 6,Mic 7,Mic 8
0.000,29.333,26.414,33.032,32.436,34.534,33.469,31.865,32.715
0.000,29.977,27.965,33.071,32.645,34.549,33.497,32.122,32.772
0.000,30.760,29.083,33.052,32.650,34.471,33.526,32.339,32.878
0.000,31.150,29.902,33.056,32.732,34.397,33.538,32.594,32.949
0.000,31.472,30.661,33.017,32.866,34.345,33.495,32.700,33.032
0.000,31.737,31.176,33.050,32.896,34.255,33.397,32.752,33.175
0.000,31.961,31.484,32.975,32.856,34.230,33.396,32.873,33.356
0.276,32.168,31.811,32.973,32.946,34.225,33.376,32.882,33.362
0.000,32.334,32.165,32.969,33.099,34.277,33.410,32.927,33.375
0.000,32.566,32.460,33.123,33.303,34.309,33.456,33.212,33.415
0.000,32.927,32.726,33.170,33.368,34.307,33.529,33.341,33.571
0.000,33.260,33.155,33.157,33.549,34.432,33.519,33.603,33.615
0.000,33.497,33.359,33.285,33.617,34.375,33.533,33.824,33.635
0.000,33.489,33.491,33.363,33.832,34.519,33.529,33.946,33.736
0.000,33.654,33.852,33.474,33.801,34.431,33.589,33.912,33.703
0.372,33.778,34.166,33.855,33.887,34.396,33.715,34.069,33.988
0.000,34.012,34.497,34.468,34.037,34.430,33.730,34.098,34.006
0.000,34.307,35.079,35.043,34.331,34.601,34.070,34.148,34.135
0.000,34.603,35.517,35.592,34.648,34.637,34.323,34.230,34.412
0.000,34.804,35.465,35.463,34.775,34.679,34.373,34.226,34.435
0.000,34.698,35.424,35.336,34.834,34.636,34.510,34.224,34.482
0.000,34.666,35.346,35.256,34.753,34.744,34.537,34.252,34.401
0.000,34.685,35.341,35.168,34.682,34.652,34.527,34.358,34.511
0.477,34.832,35.392,35.057,34.538,34.563,34.513,34.402,34.436
0.000,34.790,35.305,34.937,34.468,34.458,34.363,34.331,34.351
0.000,34.795,35.236,34.796,34.318,34.369,34.264,34.251,34.285
0.000,34.718,35.127,34.714,34.204,34.295,34.115,34.256,34.213
0.000,34.652,35.039,34.625,34.214,34.260,34.180,34.372,34.328
0.000,34.641,35.061,34.581,34.211,34.347,34.233,34.413,34.249
0.000,34.590,34.993,34.480,34.172,34.342,34.182,34.419,34.238
0.000,34.549,34.918,34.487,34.107,34.404,34.143,34.446,34.237
0.567,34.479,34.909,34.393,34.010,34.282,34.103,34.446,34.133
0.000,34.429,34.762,34.270,33.981,34.301,33.986,34.439,34.144
0.000,34.406,34.664,34.159,33.922,34.288,33.945,34.326,34.026
0.000,34.333,34.655,34.021,33.805,34.191,33.840,34.267,33.933
0.000,34.328,34.620,33.912,33.793,34.156,33.814,34.229,33.937
0.000,34.275,34.592,33.854,33.845,34.200,33.786,34.242,33.994
0.000,34.305,34.509,33.817,33.769,34.205,33.740,34.298,34.027
0.000,34.281,34.418,33.712,33.679,34.190,33.623,34.280,33.946
0.665,34.280,34.403,33.587,33.619,34.170,33.570,34.304,33.982
0.000,34.243,34.372,33.523,33.610,34.197,33.595,34.332,34.031
0.000,34.257,34.326,33.580,33.650,34.217,33.709,34.303,34.007
0.000,34.296,34.324,33.643,33.579,34.132,33.666,34.278,33.960
0.000,34.274,34.303,33.562,33.499,34.111,33.740,34.318,33.951
0.000,34.242,34.243,33.570,33.564,34.038,33.734,34.275,33.894
0.000,34.255,34.239,33.502,33.489,33.975,33.671,34.174,33.918
0.760,34.164,34.179,33.405,33.416,33.912,33.583,34.140,33.876
0.000,34.102,34.166,33.389,33.404,33.942,33.532,34.141,33.882
0.000,34.094,34.140,33.397,33.364,33.929,33.532,34.085,33.782
0.000,33.998,34.148,33.370,33.401,34.018,33.663,34.038,33.728
0.000,34.110,34.228,33.426,33.420,34.035,33.602,34.019,33.694
0.000,34.142,34.447,33.589,33.690,34.153,33.584,34.018,33.683
0.000,34.338,34.750,33.893,33.958,34.333,33.674,34.136,33.666
0.000,34.296,34.965,34.227,34.150,34.466,33.837,34.196,33.678
0.858,34.411,35.045,34.525,34.276,34.518,34.073,34.232,33.753
0.000,34.586,35.207,34.627,34.426,34.578,34.269,34.336,33.743
0.000,34.733,35.324,34.699,34.524,34.924,34.481,34.392,33.866
0.000,34.728,35.254,34.600,34.556,35.072,34.584,34.432,33.923
0.000,34.858,35.261,34.638,34.617,34.998,34.564,34.387,33.991
0.000,35.033,35.308,34.904,34.765,35.045,34.569,34.296,34.005
0.000,34.990,35.320,34.819,34.793,35.268,34.659,34.340,34.086
0.000,34.950,35.288,34.871,34.720,35.135,34.620,34.353,34.104
0.958,35.097,35.244,34.794,34.715,35.071,34.528,34.385,34.265
0.000,35.179,35.231,34.723,34.599,34.950,34.545,34.464,34.238
0.000,35.224,35.202,34.815,34.615,34.862,34.485,34.496,34.330
0.000,35.228,35.147,34.707,34.555,34.827,34.378,34.525,34.331
0.000,35.301,35.215,34.799,34.604,34.804,34.313,34.482,34.336
0.000,35.310,35.198,34.750,34.645,34.936,34.345,34.519,34.322
0.000,35.266,35.227,34.802,34.785,34.968,34.399,34.581,34.399
0.000,35.323,35.201,34.830,34.724,35.008,34.446,34.626,34.375
1.057,35.368,35.265,34.932,34.854,35.291,34.558,34.729,34.428
0.000,35.393,35.262,34.923,34.969,35.529,34.728,34.774,34.650
0.000,35.405,35.322,35.061,34.931,35.661,34.841,34.932,34.729
0.000,35.385,35.308,35.223,34.855,35.610,34.912,34.942,34.821
0.000,35.402,35.268,35.147,34.887,35.586,34.879,34.877,34.901
0.000,35.398,35.180,35.128,34.848,35.559,34.877,34.832,34.865
0.000,35.263,35.280,34.986,34.769,35.470,34.844,34.739,34.826
0.000,35.163,35.322,34.924,34.811,35.377,34.745,34.655,34.777
1.155,35.072,35.229,34.881,34.776,35.324,34.717,34.616,34.739
0.000,35.002,35.247,34.864,34.784,35.171,34.654,34.563,34.704
0.000,34.934,35.185,34.745,34.733,35.102,34.563,34.491,34.678
0.000,34.832,35.098,34.660,34.624,35.016,34.442,34.432,34.603
0.000,34.835,35.081,34.573,34.582,35.010,34.428,34.432,34.576
0.000,34.714,35.061,34.506,34.469,34.925,34.323,34.411,34.537
0.000,34.639,34.968,34.345,34.375,34.833,34.224,34.380,34.527
1.251,34.569,34.882,34.292,34.324,34.768,34.143,34.360,34.456
0.000,34.461,34.833,34.243,34.218,34.681,34.029,34.379,34.456
0.000,34.523,34.795,34.137,34.128,34.642,33.975,34.380,34.396
0.000,34.438,34.718,34.054,34.004,34.567,33.878,34.420,34.389
0.000,34.396,34.694,34.024,33.967,34.424,33.781,34.394,34.371
0.000,34.385,34.622,33.979,33.951,34.386,33.820,34.359,34.342
0.000,34.376,34.587,33.961,33.896,34.426,33.789,34.391,34.412
0.000,34.320,34.566,33.925,33.895,34.382,33.740,34.400,34.410
1.356,34.341,34.569,33.961,33.887,34.387,33.683,34.359,34.336
0.000,34.279,34.479,33.946,33.866,34.432,33.808,34.339,34.284
0.000,34.229,34.526,33.853,33.843,34.388,33.711,34.363,34.249
0.000,34.264,34.464,33.873,33.859,34.348,33.677,34.294,34.254
0.000,34.169,34.452,33.805,33.856,34.300,33.699,34.288,34.205
0.000,34.169,34.446,33.753,33.801,34.191,33.745,34.251,34.171
0.000,34.167,34.412,33.706,33.699,34.097,33.707,34.335,34.264
0.000,34.216,34.451,33.710,33.697,34.090,33.728,34.421,34.307
1.452,34.256,34.479,33.685,33.695,34.079,33.765,34.451,34.258
0.000,34.379,34.524,33.722,33.731,34.037,33.814,34.545,34.610
0.000,34.511,34.603,33.771,33.873,34.039,33.988,34.646,34.765
0.000,34.627,34.683,33.829,33.904,34.260,34.301,34.577,34.730
0.000,34.759,34.722,33.895,34.100,34.195,34.226,34.609,34.685
0.000,34.743,34.755,33.998,34.021,34.176,34.230,34.782,34.810
0.000,34.785,34.835,34.001,34.009,34.229,34.341,34.755,34.862
0.000,34.994,35.088,34.117,34.046,34.248,34.343,34.763,35.032
1.547,35.071,35.195,34.021,34.083,34.219,34.304,34.891,34.962
0.000,35.028,35.133,33.967,34.234,34.328,34.239,34.870,34.945
0.000,34.931,35.034,33.994,34.233,34.297,34.174,34.886,35.032
0.000,34.855,35.007,33.947,34.148,34.294,34.217,34.780,34.869
0.000,34.741,34.974,33.828,34.093,34.268,34.194,34.722,34.759
0.000,34.653,34.912,33.760,33.966,34.193,34.120,34.736,34.726
0.000,34.641,34.839,33.738,33.970,34.132,34.109,34.755,34.651
0.000,34.597,34.806,33.694,33.914,34.082,34.064,34.801,34.679
1.640,34.526,34.759,33.590,33.846,33.998,34.054,34.898,34.884
0.000,34.495,34.701,33.563,33.807,33.960,33.931,34.978,34.979
0.000,34.483,34.639,33.544,33.679,33.900,33.916,34.935,34.910
0.000,34.447,34.591,33.493,33.581,33.874,33.978,35.159,34.983
0.000,34.397,34.513,33.401,33.454,33.903,34.010,35.261,35.091
0.000,34.266,34.407,33.373,33.432,33.839,33.955,35.241,35.103
0.000,34.221,34.393,33.344,33.332,33.808,33.870,35.204,35.068
1.741,34.197,34.326,33.302,33.353,33.795,33.815,35.090,34.956
0.000,34.199,34.364,33.280,33.310,33.715,33.736,34.974,34.827
0.000,34.179,34.319,33.292,33.333,33.736,33.728,34.839,34.662
0.000,34.131,34.279,33.404,33.294,33.631,33.704,34.760,34.574
