Time (s),ESC (µs),Servo (µs),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),App message,
27.973669999999924,1354,,-0.030501758232748144,-1.7307463576828601,16.147828235445154,1.2644261745717307,0,20.417736683385296,0,0,0,0,,
28.001290000000036,1354,,-0.030591490942975974,-1.7310667007485177,16.147802832765585,1.2657161387591462,0,20.43853465093206,0,0,0,0,,
28.022889999999666,1354,,-0.030640459666821274,-1.7317723357292405,16.14779958620938,1.2648034022677805,0,20.42379185577588,0,0,0,0,,
28.045049999999815,1354,,-0.030689156035770937,-1.7316289988592732,16.1477783855023,1.2656795050343956,0,20.437912154367663,0,0,0,0,,
28.069850000000095,1354,,-0.030711991839716957,-1.7326180084973224,16.14778360542798,1.2641720424827376,0,20.413576582043152,0,0,0,0,,
28.092100000000094,1354,,-0.030739777258718903,-1.7323599889271986,16.147793493561807,1.2625220041818017,0,20.38694460460551,0,0,0,0,,
28.11799500000011,1354,,-0.030861741358260586,-1.7316367476363221,16.14781573904613,1.2602158233047702,0,20.349732906155747,0,0,0,0,,
28.14009499999974,1354,,-0.030935716595047902,-1.7318522308023907,16.14782339698482,1.259366640085208,0,20.33603009615008,0,0,0,0,,
28.1638049999997,1354,,-0.030945269850000345,-1.73154841002711,16.1478254912635,1.2585150059019776,0,20.322280693441588,0,0,0,0,,
28.187935000000056,1354,,-0.03091920723463326,-1.7325504464594432,16.147832433478108,1.2584613115461534,0,20.321422382862373,0,0,0,0,,
28.21335999999987,1354,,-0.030907988165854827,-1.73235525163013,16.147852903395087,1.2563779054898294,0,20.28780560892538,0,0,0,0,,
28.237100000000094,1354,,-0.030927518735844095,-1.7334570380319703,16.14778465716758,1.2607546569077046,0,20.35839470526681,0,0,0,0,,
28.26087000000011,1354,,-0.030982148687010547,-1.733751046779317,16.14768057878518,1.2645581717062497,0,20.419681430005106,0,0,0,0,,
28.28685999999987,1354,,-0.03100996919250487,-1.7361579003926473,16.147719664424198,1.2627544741126346,0,20.39060525296823,0,0,0,0,,
28.308040000000037,1354,,-0.03095109047151834,-1.737053585482025,16.147707125399112,1.2632344237508302,0,20.39833950545072,0,0,0,0,,
28.330384999999776,1354,,-0.030922696976872555,-1.7388806553400262,16.147690714844646,1.2632376727520556,0,20.398371238940328,0,0,0,0,,
28.351064999999945,1354,,-0.03084954141659446,-1.739677704842452,16.14769690598729,1.262175625914919,0,20.38122944939891,0,0,0,0,,
28.373165000000036,1354,,-0.03077482293718603,-1.7410866268397478,16.147732562081785,1.2609182492995266,0,20.360970672337125,0,0,0,0,,
28.397955000000074,1354,,-0.030722426859055907,-1.7402739191317667,16.14773382307589,1.260010698966623,0,20.34631738114083,0,0,0,0,,
28.424,1354,,-0.030703648499970093,-1.7389971942993512,16.147724257264503,1.2615836487568544,0,20.371704887599318,0,0,0,0,,
28.451834999999964,1354,,-0.030706032385034776,-1.7386273018997187,16.147684420310465,1.2628982643395021,0,20.39288262751211,0,0,0,0,,
28.473544999999927,1354,,-0.030702615917373,-1.7384789626535906,16.147666384032817,1.262013040653458,0,20.378565552770883,0,0,0,0,,
28.502419999999926,1354,,-0.030666726509239517,-1.738300580915589,16.147688668451913,1.2605956841215655,0,20.35570664398919,0,0,0,0,,
28.52628500000015,1354,,-0.030641984400883837,-1.7395742981717115,16.147625750091596,1.2631077357818774,0,20.396190999451335,0,0,0,0,,
28.549430000000168,1354,,-0.030593272671730842,-1.7393284946863865,16.147600001489288,1.2621893954277619,0,20.38132948348909,0,0,0,0,,
28.574610000000334,1354,,-0.03058322118883583,-1.7402336804511103,16.14757046836854,1.2624941305315898,0,20.386212938660513,0,0,0,0,,
28.601939999999946,1354,,-0.030595651512643096,-1.740849834319562,16.147541981068724,1.2607798082950055,0,20.358494883327378,0,0,0,0,,
28.629314999999945,1354,,-0.0305712232295281,-1.7404150882312772,16.147555867495218,1.258182254623438,0,20.31656824802306,0,0,0,0,,
28.653129999999887,1354,,-0.030597420636617745,-1.7401734756563296,16.14757135382344,1.256978414574152,0,20.29714863955198,0,0,0,0,,
28.675095000000205,1354,,-0.030620925275549826,-1.7411944655221339,16.14753022404449,1.2590140899831188,0,20.329968070500282,0,0,0,0,,
28.70004500000039,1354,,-0.03067900763572473,-1.7414498305478359,16.14753234572549,1.2605974397626438,0,20.35553793350603,0,0,0,0,,
28.725915000000036,1354,,-0.030703361593147016,-1.7414272807168065,16.147541062328294,1.2610880663427784,0,20.363471334482202,0,0,0,0,,
28.75110999999987,1354,,-0.030688432617664185,-1.7409320506059518,16.147557055132392,1.2599164518340817,0,20.344572790690798,0,0,0,0,,
28.773540000000036,1354,,-0.03066775216443729,-1.7411384746289746,16.14756847931816,1.2596117652011745,0,20.33966723594079,0,0,0,0,,
28.80033999999985,1354,,-0.030643991172543905,-1.7413058932289087,16.14758748629307,1.2603120552769216,0,20.350999172613918,0,0,0,0,,
28.825004999999887,1354,,-0.030646947311996464,-1.7391416949172753,16.147542990117884,1.263107979086603,0,20.396090393461844,0,0,0,0,,
28.848669999999924,1354,,-0.0306759870324258,-1.738115877519274,16.147514394959092,1.2655698836937832,0,20.43580791477207,0,0,0,0,,
28.872544999999924,1354,,-0.030678205257291924,-1.7361107584584468,16.14750669145898,1.264742498980676,0,20.422437965263015,0,0,0,0,,
