Time,Mic 1,Mic 2,Mic 3,Mic 4,Mic 5,Mic 6,Mic 7,Mic 8
0.000,70.054,69.566,68.456,64.163,63.519,67.630,69.793,79.066
0.000,72.417,72.172,70.975,66.747,66.041,70.303,72.992,79.412
0.000,73.347,73.501,72.220,68.930,67.465,71.868,74.325,79.519
0.000,74.077,74.446,73.070,69.906,68.414,72.767,75.457,80.198
0.000,75.064,75.182,73.825,70.792,68.951,73.573,76.189,80.221
0.000,75.505,75.927,74.459,71.536,69.519,74.163,76.966,80.377
0.000,76.051,76.487,74.967,72.212,69.849,74.647,77.460,80.387
0.303,76.703,77.001,75.345,72.767,70.197,74.879,77.907,80.395
0.000,77.288,77.437,75.858,73.418,70.841,75.325,78.337,80.597
0.000,77.653,77.626,76.095,73.765,70.957,75.560,78.603,80.497
0.000,77.813,78.059,76.401,73.941,71.349,75.912,78.984,81.038
0.000,77.972,78.280,76.434,74.103,71.478,76.043,79.073,80.905
0.000,78.200,78.564,76.682,74.215,71.624,76.227,79.261,80.816
0.000,78.426,78.780,76.888,74.354,71.793,76.360,79.472,80.725
0.000,78.587,78.809,76.916,74.435,71.924,76.412,79.645,80.788
0.403,78.571,78.720,76.878,74.426,71.974,76.424,79.607,80.998
0.000,78.500,78.663,76.878,74.407,72.052,76.433,79.566,80.957
0.000,78.541,78.720,76.961,74.491,72.153,76.471,79.603,80.965
0.000,78.705,78.799,77.013,74.545,72.173,76.611,79.795,80.968
0.000,78.691,78.833,77.038,74.570,72.220,76.700,79.890,80.855
0.000,78.674,78.897,77.001,74.614,72.284,76.753,79.873,80.680
0.000,78.629,78.893,77.048,74.665,72.372,76.887,79.994,80.604
0.000,78.803,79.000,77.200,74.763,72.459,76.975,80.085,80.721
0.497,78.815,79.081,77.282,74.834,72.512,77.106,80.198,80.890
0.000,78.944,79.089,77.261,74.800,72.554,77.200,80.370,80.906
0.000,78.982,79.061,77.195,74.780,72.601,77.182,80.416,80.802
0.000,79.114,79.171,77.323,74.905,72.659,77.227,80.550,80.919
0.000,79.078,79.137,77.395,74.886,72.655,77.264,80.592,81.028
0.000,79.103,79.000,77.291,74.913,72.655,77.253,80.515,80.953
0.000,79.193,78.903,77.236,74.875,72.640,77.304,80.491,80.803
0.000,79.120,78.846,77.248,74.856,72.573,77.275,80.452,80.700
0.599,79.184,78.872,77.216,74.830,72.540,77.397,80.463,80.717
0.000,79.279,79.072,77.224,74.812,72.558,77.469,80.542,80.698
0.000,79.252,79.027,77.194,74.792,72.541,77.342,80.468,80.689
0.000,79.260,79.034,77.195,74.786,72.544,77.244,80.389,80.694
0.000,79.181,78.983,77.171,74.797,72.547,77.209,80.326,81.040
0.000,79.185,78.906,77.259,74.727,72.544,77.131,80.340,81.130
0.000,79.150,78.994,77.319,74.702,72.653,77.160,80.403,80.962
