,0,1,2,3,4,5,6,7,8,,,,,,,,,,
0,0.000439838,0.000250804,0.001497631,0.000556721,0.001272879,0.000929076,0.000416407,0.000320984,0.00062259,,,,,,,,,,
1,0.000440246,0.000239453,0.001466803,0.000541955,0.001251782,0.000873124,0.000417104,0.000308529,0.00060756,,,,,,,,,,
2,0.000441044,0.000227388,0.001432531,0.000526799,0.001228731,0.000811698,0.000418207,0.00029603,0.000591445,,,,,,,,,,
3,0.000442285,0.000214779,0.001394907,0.000511351,0.00120384,0.000746198,0.000419777,0.000283613,0.000574369,,,,,,,,,,
4,0.000444015,0.000201814,0.001354037,0.000495673,0.001177223,0.000678896,0.00042188,0.000271343,0.000556451,,,,,,,,,,
5,0.000446277,0.000188694,0.00131005,0.000479801,0.001149003,0.000613144,0.000424578,0.000259241,0.000537808,,,,,,,,,,
6,0.000449107,0.000175636,0.0012631,0.000463755,0.001119309,0.000552748,0.000427941,0.000247293,0.000518554,,,,,,,,,,
7,0.000452536,0.000162863,0.001213364,0.000447548,0.00108828,0.000500314,0.000432037,0.000235466,0.000498807,,,,,,,,,,
8,0.000456594,0.000150588,0.00116105,0.000431194,0.001056065,0.000456339,0.000436938,0.000223715,0.000478683,,,,,,,,,,
9,0.000461763,0.000139941,0.001109359,0.000417156,0.001025368,0.000422524,0.000442845,0.000213642,0.000460099,,,,,,,,,,
10,0.000467831,0.000130822,0.001058041,0.000404831,0.000995966,0.00039714,0.000449793,0.000204822,0.000442815,,,,,,,,,,
11,0.000474651,0.00012313,0.001006909,0.000393751,0.000967697,0.000378754,0.000457791,0.000196864,0.000426643,,,,,,,,,,
12,0.000482129,0.000116768,0.000955831,0.000383581,0.000940446,0.000366318,0.000466808,0.0001894,0.000411436,,,,,,,,,,
13,0.00049021,0.00011164,0.00090473,0.000374104,0.000914151,0.000359135,0.000476775,0.000182097,0.000397086,,,,,,,,,,
14,0.000498851,0.000107663,0.000853579,0.000365222,0.000888801,0.000356816,0.000487598,0.000174681,0.000383526,,,,,,,,,,
15,0.000508012,0.000104771,0.000802395,0.000356945,0.000864432,0.00035924,0.000499163,0.000166971,0.00037072,,,,,,,,,,
