Time (s),ESC (µs),Servo (µs),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),App message,
0,1349,,0.02374358670150256,-1.0741932671263332,14.363464061612778,1.031132727229169,0,14.810637870308941,0,0,0,0,,
0,1349,,0.02368671521395338,-1.0747730054430993,14.36345902939119,1.0314021624226704,0,14.814502702783503,0,0,0,0,,
0.025360000014305113,1349,,0.023649691775269766,-1.074736588295676,14.363478475622852,1.0298504911611124,0,14.79223536290226,0,0,0,0,,
0.0513400000333786,1349,,0.023588043903403078,-1.0743479366804485,14.363503625355264,1.0287000127669972,0,14.775736362781771,0,0,0,0,,
0.07695000004768372,1349,,0.023526478401392437,-1.0740338750913268,14.363519072377125,1.0281577166873466,0,14.76796297305042,0,0,0,0,,
0.1173050000667572,1349,,0.02346077063459895,-1.0737012323411443,14.36356970187856,1.0268714207565648,0,14.749539226903986,0,0,0,0,,
0.14536000007390976,1349,,0.023491429386333307,-1.0715716769227528,14.36360095660891,1.0264580655222368,0,14.743634051854132,0,0,0,0,,
0.17050000005960464,1349,,0.02357109737466856,-1.0699651668090042,14.363585222066174,1.028440708193995,0,14.772095757986538,0,0,0,0,,
0.1968149999976158,1349,,0.023580779477631375,-1.0686514170484884,14.363589831712687,1.0288372134019415,0,14.777795736907743,0,0,0,0,,
0.2234200000166893,1349,,0.023610743595784522,-1.069320959813977,14.363580193816697,1.0292336226142071,0,14.783479676591634,0,0,0,0,,
0.24998500001430513,1349,,0.023647733114339875,-1.069631113742462,14.363542816866547,1.0293012261936734,0,14.784412233886066,0,0,0,0,,
0.275125,1349,,0.023650663738510658,-1.068912804689357,14.363522470211063,1.0310855690582195,0,14.810020739878096,0,0,0,0,,
0.29719499999284743,1349,,0.02360462827344112,-1.0696448383508306,14.36349314596666,1.0342995436428988,0,14.85615440599122,0,0,0,0,,
0.31781500005722046,1349,,0.023612583468624826,-1.0699231460365162,14.363439527808286,1.0359467126849091,0,14.879757961681477,0,0,0,0,,
0.3414900000691414,1349,,0.02362977196874494,-1.0699612853396574,14.363399481166876,1.0379302865426498,0,14.908207339214083,0,0,0,0,,
0.36605000001192095,1349,,0.023632760640446615,-1.0701116372816246,14.363444007652653,1.0349843556308762,0,14.865939840900552,0,0,0,0,,
0.3986200000047684,1349,,0.02370606796618302,-1.070821424788602,14.363454098632737,1.0346633407743386,0,14.861339402750215,0,0,0,0,,
0.4249200000166893,1349,,0.023752451423362464,-1.0725921192906094,14.363444259996143,1.0346004499909751,0,14.860425894812298,0,0,0,0,,
0.44908499997854234,1349,,0.023803857292157504,-1.0735291777768345,14.363440638061896,1.0347811107157527,0,14.863017057153469,0,0,0,0,,
0.4741449999809265,1349,,0.02382905492057319,-1.074370675703099,14.363362260606117,1.0375524146463557,0,14.902741195932215,0,0,0,0,,
