,mean,std
Ang_0,-30.67885569627882,2.154418601266933
Ang_45,-33.80689906798045,2.1552901496040384
Ang_90,-31.903604929739185,2.7251799556196636
Ang_135,-35.28248237845417,2.7912404706634435
Ang_180,-31.767622124552023,2.7019970450733584
Ang_225,-36.491140194151576,2.4982339886233498
Ang_270,-32.95086575874204,2.454953429445678
Ang_315,-34.71080025893904,1.987120114264414
Ang_360,-32.89860408982337,1.9864279210950404
