freq,Ang_0,Ang_45,Ang_90,Ang_135,Ang_180,Ang_225,Ang_270,Ang_315,Ang_360
4.40E+09,0.000818112,0.000361893,0.001242589,0.000367838,0.000417204,0.000249123,0.001269717,0.000403547,0.000607684
4.41E+09,0.000858298,0.000342181,0.001222865,0.000352528,0.000444615,0.000245669,0.001214213,0.000400897,0.000617892
4.42E+09,0.000898458,0.000322876,0.001202074,0.000337867,0.000471674,0.000241183,0.001158644,0.000398607,0.000627983
4.42E+09,0.000938425,0.000304218,0.001180541,0.000324054,0.000498339,0.000235697,0.001103593,0.000396645,0.000638022
4.43E+09,0.000978067,0.000286424,0.001158586,0.000311255,0.000524579,0.000229254,0.001049563,0.000394964,0.000648081
4.44E+09,0.001017286,0.00026969,0.001136511,0.000299597,0.000550378,0.000221909,0.000996977,0.000393501,0.000658232
4.45E+09,0.001056007,0.000254178,0.001114599,0.000289168,0.000575733,0.000213733,0.000946171,0.000392181,0.000668545
4.46E+09,0.001094173,0.000240015,0.001093104,0.000280012,0.000600658,0.000204811,0.0008974,0.000390916,0.000679078
4.46E+09,0.001131744,0.000227299,0.001072245,0.000272134,0.000625178,0.000195237,0.000850848,0.000389609,0.000689882
4.47E+09,0.001168692,0.000216097,0.00105221,0.000265507,0.000649328,0.0001851,0.000806643,0.000388146,0.000700998
4.48E+09,0.001205,0.000206459,0.001033159,0.000260078,0.000673152,0.000174485,0.000764881,0.000386408,0.000712457
4.49E+09,0.001240662,0.000198413,0.00101522,0.000255774,0.000696694,0.000163458,0.00072565,0.000384271,0.000724281
4.50E+09,0.001275674,0.000191972,0.000998505,0.000252507,0.000719991,0.000152063,0.000689052,0.000381615,0.000736479
4.50E+09,0.001310034,0.000187134,0.000983099,0.000250177,0.000743078,0.000140322,0.000655228,0.000378335,0.000749048
4.51E+09,0.001343731,0.000183882,0.000969072,0.000248672,0.00076598,0.000128225,0.00062436,0.000374344,0.000761965
4.52E+09,0.001376742,0.000182189,0.000956472,0.000247863,0.00078872,0.000115722,0.000596667,0.000369588,0.000775186
4.53E+09,0.00140903,0.000182019,0.000945324,0.000247609,0.000811321,0.000102675,0.000572381,0.000364054,0.000788643
4.54E+09,0.001440539,0.000183332,0.000935633,0.000247752,0.000833802,8.87E-05,0.000551719,0.000357768,0.000802248
4.54E+09,0.001471199,0.000186081,0.00092738,0.000248122,0.000856183,7.27E-05,0.000534849,0.0003508,0.000815892
4.55E+09,0.001500924,0.000190214,0.000920525,0.000248543,0.00087848,5.66E-05,0.000521879,0.000343266,0.000829448
4.56E+09,0.001529615,0.000195664,0.000915003,0.000248841,0.000900706,4.89E-05,0.000512849,0.000335312,0.000842778
4.57E+09,0.001557169,0.000202352,0.000910737,0.000248852,0.000922863,4.41E-05,0.000507754,0.000327115,0.000855738
4.58E+09,0.001583472,0.000210181,0.000907635,0.000248431,0.000944941,4.10E-05,0.000506568,0.000318861,0.000868185
4.58E+09,0.001608408,0.000219024,0.000905595,0.000247463,0.000966919,3.92E-05,0.000509265,0.000310742,0.000879972
4.59E+09,0.001631858,0.000228722,0.00090451,0.000245863,0.000988767,3.82E-05,0.000515829,0.00030294,0.000890963
4.60E+09,0.001653702,0.000239076,0.000904266,0.00024358,0.001010447,3.80E-05,0.000526262,0.000295615,0.000901029
4.61E+09,0.001673829,0.00024985,0.000904747,0.000240598,0.001031917,3.86E-05,0.000540569,0.0002889,0.000910057
4.62E+09,0.001692132,0.000260773,0.000905828,0.000236928,0.001053131,3.99E-05,0.00055874,0.000282901,0.000917949
4.62E+09,0.001708517,0.000271562,0.000907381,0.000232611,0.001074041,4.21E-05,0.000580708,0.000277702,0.000924629
4.63E+09,0.001722909,0.000281932,0.000909276,0.000227703,0.001094597,4.53E-05,0.000606308,0.000273359,0.000930044
4.64E+09,0.001735257,0.000291628,0.000911379,0.000222274,0.001114738,4.98E-05,0.000635238,0.000269916,0.000934173
4.65E+09,0.001745531,0.00030043,0.000913558,0.000216406,0.001134396,5.63E-05,0.00066703,0.000267401,0.000937023
4.66E+09,0.001753734,0.000308171,0.000915687,0.000210176,0.001153495,6.60E-05,0.000701048,0.000265837,0.000938632
4.66E+09,0.001759896,0.00031474,0.000917643,0.000203659,0.001171946,8.23E-05,0.000736522,0.000265241,0.000939072
4.67E+09,0.001764083,0.000320093,0.000919317,0.00019692,0.001189654,0.000108909,0.000772603,0.000265622,0.000938446
4.68E+09,0.001766386,0.000324243,0.000920616,0.000190019,0.001206515,0.000131376,0.000808433,0.000266982,0.000936882
4.69E+09,0.00176692,0.000327256,0.000921453,0.00018301,0.001222423,0.000152967,0.000843195,0.000269313,0.000934527
4.70E+09,0.001765819,0.000329244,0.000921752,0.000175933,0.001237276,0.000174232,0.000876152,0.000272601,0.00093154
4.70E+09,0.001763231,0.000330345,0.000921442,0.000168821,0.001250976,0.000195296,0.000906662,0.000276823,0.000928088
4.71E+09,0.001759311,0.000330718,0.000920451,0.000161695,0.001263432,0.000216142,0.000934191,0.000281948,0.000924337
4.72E+09,0.001754222,0.00033052,0.000918707,0.000154565,0.001274566,0.000236695,0.000958301,0.000287949,0.000920454
